record_id,fielding_chances,putouts,assists,errors,remarks
6783,0,0,0,0,
6784,9,9,0,0,
6786,2,2,0,0,
6790,9,9,0,0,
6791,2,1,1,0,
6792,0,0,0,0,
6794,0,0,0,0,
6796,5,1,4,0,
6797,0,0,0,0,
6798,1,1,0,0,
6800,3,3,0,0,
6804,3,1,2,0,
6807,0,0,0,0,
6811,1,0,1,0,
6755,1,0,1,0,
6758,0,0,0,0,
6759,2,2,0,0,
6761,0,0,0,0,
6762,11,11,0,0,
6765,2,2,0,0,
6766,9,8,1,0,
6767,0,0,0,0,
6768,8,3,4,1,
6772,0,0,0,0,
6773,0,0,0,0,
6779,1,0,1,0,
6780,4,1,2,1,
6782,0,0,0,0,
6917,2,0,2,0,
6932,0,0,0,0,
6938,2,2,0,0,
6941,1,0,1,0,
6942,1,1,0,0,
6944,0,0,0,0,
6945,1,1,0,0,
6946,3,1,2,0,
6954,0,0,0,0,
6958,1,1,0,0,
6961,6,1,5,0,
6969,0,0,0,0,
6982,2,2,0,0,
6987,0,0,0,0,
6988,5,5,0,0,
6989,5,5,0,0,
7003,2,0,2,0,
7009,0,0,0,0,
7013,6,4,2,0,
7016,0,0,0,0,
7021,2,2,0,0,
7024,3,1,2,0,
7027,1,1,0,0,
6814,5,5,0,0,
6817,1,1,0,0,
6821,3,3,0,0,
6825,7,2,5,0,
6828,4,4,0,0,
6831,2,2,0,0,
6836,0,0,0,0,
6839,2,0,2,0,
6840,1,0,1,0,
6843,1,0,0,1,
6846,0,0,0,0,
6854,10,10,0,0,
6862,0,0,0,0,
6866,1,0,1,0,
6870,0,0,0,0,
6873,3,0,3,0,
6877,0,0,0,0,
6884,0,0,0,0,
6885,0,0,0,0,
6886,0,0,0,0,
6888,0,0,0,0,
6898,0,0,0,0,
6903,0,0,0,0,
7155,0,0,0,0,
7156,9,9,0,0,
7161,2,2,0,0,
7163,0,0,0,0,
7185,4,1,3,0,
7186,0,0,0,0,
7191,0,0,0,0,
7201,0,0,0,0,
7203,5,1,4,0,
7211,1,1,0,0,
7217,0,0,0,0,
7218,2,2,0,0,
7220,0,0,0,0,
7221,2,0,2,0,
7226,0,0,0,0,
7236,5,5,0,0,
7251,0,0,0,0,
7252,0,0,0,0,
7257,0,0,0,0,
7259,0,0,0,0,
7260,0,0,0,0,
7262,2,2,0,0,
7264,3,3,0,0,
7036,3,0,3,0,
7037,3,3,0,0,
7042,2,2,0,0,
7046,2,0,2,0,
7051,0,0,0,0,
7054,0,0,0,0,
7065,0,0,0,0,
7066,1,1,0,0,
7067,1,0,1,0,
7075,2,2,0,0,
7078,2,1,1,0,
7084,3,1,2,0,
7088,0,0,0,0,
7095,0,0,0,0,
7096,1,1,0,0,
7098,2,0,2,0,
7106,0,0,0,0,
7108,1,1,0,0,
7128,8,8,0,0,
7134,7,7,0,0,
7137,0,0,0,0,
7138,0,0,0,0,
7141,0,0,0,0,
7142,0,0,0,0,
7384,0,0,0,0,
7387,1,1,0,0,
7390,1,1,0,0,
7391,0,0,0,0,
7403,0,0,0,0,
7412,7,7,0,0,
7421,4,1,3,0,
7431,3,1,2,0,
7438,0,0,0,0,
7440,0,0,0,0,
7441,1,1,0,0,
7442,1,0,1,0,
7445,4,1,3,0,
7446,0,0,0,0,
7454,2,1,1,0,
7456,1,0,1,0,
7463,0,0,0,0,
7469,1,1,0,0,
7494,4,4,0,0,
7502,5,5,0,0,
7503,3,3,0,0,
7504,0,0,0,0,
7267,2,2,0,0,
7282,2,2,0,0,
7289,0,0,0,0,
7299,0,0,0,0,
7308,1,0,1,0,
7316,0,0,0,0,
7327,8,8,0,0,
7328,0,0,0,0,
7329,1,0,1,0,
7335,0,0,0,0,
7340,7,6,1,0,
7342,0,0,0,0,
7343,1,0,1,0,
7346,0,0,0,0,
7353,0,0,0,0,
7358,2,0,2,0,
7359,0,0,0,0,
7360,1,1,0,0,
7364,2,2,0,0,
7375,4,1,3,0,
7377,8,5,3,0,
7673,0,0,0,0,
