record_id,pitching_role,pitch_result,innings_pitched,pitches,batters_faced,strikeouts,walks,hit_batters,hits_allowed,singles,doubles,triples,home_runs,runs_allowed,earned_runs,fly_outs,ground_outs,line_outs,stolen_bases_allowed,wild_pitches,balks,remarks
134304,RP,"",0.2,13,3,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,""
134264,CL,"",1.0,25,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,""
134276,SP,W,7.0,96,25,10,1,0,2,1,1,0,0,0,0,7,3,2,0,0,0,"(W, 5-2)"
134279,RP,"",1.0,11,4,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,""
134348,CL,"",1.0,17,5,2,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,""
134357,SP,W,8.0,104,29,8,1,0,4,3,1,0,0,0,0,3,9,3,0,0,0,"(W, 9-2)"
134310,RP,"",1.0,13,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,""
134317,SP,L,6.0,81,21,10,0,0,4,2,0,0,2,2,2,1,4,0,0,0,0,"(L, 0-1)"
134321,RP,"",1.1,36,9,1,1,0,4,3,1,0,0,3,3,0,2,1,1,0,0,""
134329,CL,"",0.2,8,3,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,""
134393,SP,L,6.0,92,23,7,2,0,3,3,0,0,0,3,3,3,6,0,0,0,0,"(L, 8-11)"
134396,CL,"",1.0,9,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,""
134404,RP,"",1.0,17,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
134372,CL,S,1.0,14,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"(S, 8)"
134379,SP,W,7.0,98,24,6,0,0,4,3,1,0,0,0,0,2,5,5,0,0,0,"(W, 1-0)"
134382,RP,H,1.0,9,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(H, 28)"
134439,RP,H,0.2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(H, 1)"
134440,RP,BS,1.0,12,4,1,0,0,1,0,1,0,0,1,1,0,2,0,0,1,0,"(BS, 6)"
134444,CL,"",1.0,24,6,1,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,""
134449,SP,"",5.1,88,24,0,1,1,8,7,1,0,0,1,1,7,5,2,0,0,0,""
134453,RP,W,1.0,10,4,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,"(W, 3-3)"
134412,RP,L,0.1,15,3,0,1,0,1,0,1,0,0,2,2,0,0,0,0,0,0,"(L, 0-1)"
134417,SP,"",7.0,104,26,7,2,0,3,1,1,0,1,2,2,2,8,4,1,0,0,""
134421,RP,"",0.1,10,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,""
134426,CL,"",0.1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,""
134427,RP,"",0.2,14,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,""
134431,RP,"",0.1,28,8,0,2,0,5,3,1,0,1,7,7,0,0,0,0,0,0,""
134494,CL,"",1.0,10,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,""
134500,RP,"",1.0,33,6,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,""
134507,SP,L,5.0,99,20,3,2,0,3,0,3,0,0,3,3,3,8,0,0,0,0,"(L, 5-13)"
134511,RP,"",1.0,35,8,1,2,0,3,2,0,0,1,2,2,2,0,0,0,0,0,""
134471,RP,H,1.1,15,4,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,"(H, 14)"
134477,RP,H,0.2,15,5,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,"(H, 10)"
134484,SP,W,5.0,92,22,5,4,0,5,3,2,0,0,1,1,3,1,2,0,0,1,"(W, 2-1)"
134485,RP,"",1.0,15,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,""
134487,CL,"",1.0,13,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,""
134541,RP,W,0.2,9,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"(W, 2-0)"
134544,CL,S,1.0,26,5,1,0,0,2,1,1,0,0,1,1,1,1,0,0,0,0,"(S, 4)"
134554,RP,"",1.0,23,5,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,""
134556,SP,"",5.0,96,23,3,0,0,10,7,1,0,2,4,4,5,3,0,0,0,0,""
134557,RP,"",1.1,15,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,""
134518,RP,H,0.1,9,3,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,"(H, 21)"
134519,RP,H,1.2,25,6,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,"(H, 26)"
134521,SP,"",5.2,93,24,6,3,0,4,3,0,0,1,2,2,3,8,0,0,0,0,""
134527,RP,L,0.2,25,7,0,1,1,3,1,0,0,2,4,4,1,1,0,1,0,0,"(L, 8-5)(BS, 7)"
134530,RP,H,0.1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(H, 18)"
134535,CL,"",0.1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
134594,SP,"",4.0,87,21,5,3,2,5,5,0,0,0,4,4,2,2,1,0,0,0,""
134596,RP,"",1.0,18,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,""
134600,CL,L,0.0,12,4,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,"(L, 6-6)"
134603,RP,"",1.0,27,6,0,1,0,2,1,1,0,0,1,1,1,1,1,0,0,0,""
134611,RP,"",1.0,15,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
134614,RP,"",1.0,18,4,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,""
134569,SP,"",4.2,90,19,8,0,0,6,5,1,0,0,2,2,1,4,0,0,0,0,""
134573,RP,H,1.0,24,6,0,0,0,3,2,1,0,0,1,1,0,2,1,0,0,0,"(H, 12)"
134574,RP,"",0.1,11,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,""
134581,RP,BS,0.1,28,4,1,2,0,1,0,0,0,1,2,2,0,0,0,0,0,0,"(BS, 9)"
134584,CL,W,1.2,22,5,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,"(W, 6-2)"
134586,RP,H,1.0,7,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"(H, 26)"
134646,RP,W,1.0,19,4,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,"(W, 2-3)"
134656,RP,"",1.0,15,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,""
134657,CL,S,1.0,16,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(S, 35)"
134662,SP,"",5.0,78,21,6,1,0,7,6,0,0,1,4,4,2,2,1,0,0,0,""
134669,RP,"",1.0,14,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,""
134620,CL,"",0.2,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
134621,RP,BS,0.0,7,3,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,"(BS, 2)"
134631,RP,L,0.2,20,6,2,0,0,4,4,0,0,0,3,3,0,0,0,0,0,0,"(L, 0-4)(H, 7)"
134637,RP,"",0.2,26,5,0,1,0,2,2,0,0,0,2,2,1,0,0,0,0,0,""
134644,SP,"",7.0,85,22,5,0,1,1,1,0,0,0,0,0,4,6,2,0,0,0,""
134697,RP,L,0.0,21,3,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,"(L, 0-3)"
134698,SP,"",2.2,80,17,4,1,0,8,5,2,0,1,6,6,1,1,1,1,0,0,""
134711,RP,"",1.2,33,7,1,0,0,2,1,0,0,1,1,1,1,1,2,0,0,0,""
134712,RP,"",2.2,32,10,2,1,0,1,0,1,0,0,1,1,0,4,2,0,0,0,""
134717,RP,"",1.0,15,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,""
134720,CL,"",0.2,6,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,""
134671,CL,W,1.1,21,6,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"(W, 4-3)"
134673,RP,H,1.2,30,9,1,0,0,4,3,1,0,0,3,3,2,0,2,0,0,0,"(H, 1)"
134694,SP,"",5.0,93,20,10,1,0,4,1,2,0,1,3,3,2,1,1,0,0,0,""
134695,RP,BS,1.0,34,8,2,0,0,5,2,3,0,0,2,2,0,0,1,0,0,0,"(BS, 2)"
134755,SP,W,6.0,93,23,9,1,2,3,2,0,0,1,3,3,0,8,0,0,0,0,"(W, 6-12)"
134758,CL,"",1.0,20,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,""
134764,RP,"",2.0,24,7,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,""
134732,CL,"",1.0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,""
134733,RP,"",2.0,42,9,3,1,0,2,2,0,0,0,0,0,3,0,0,0,0,0,""
134735,RP,"",1.0,21,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,""
134741,SP,L,5.0,91,24,3,1,0,8,4,3,0,1,8,7,3,5,2,0,0,0,"(L, 6-12)"
134806,RP,"",1.0,25,5,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,""
134816,RP,"",2.0,23,7,1,0,0,2,1,0,0,1,1,1,1,3,0,0,0,0,""
134817,CL,"",1.0,17,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,""
134818,SP,L,4.0,81,19,3,3,0,4,1,1,0,2,6,6,3,3,1,0,0,0,"(L, 6-9)"
134794,SP,W,8.0,102,27,8,1,0,3,2,1,0,0,0,0,5,8,2,1,0,0,"(W, 7-9)"
134798,CL,"",0.2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
134799,RP,"",0.1,23,4,0,0,0,3,1,0,0,2,3,3,1,0,0,0,0,0,""
134857,RP,"",1.0,17,4,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,""
134863,CL,"",1.0,21,5,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,""
134869,SP,W,6.0,93,26,5,3,0,6,4,1,0,1,1,1,5,3,2,0,0,0,"(W, 5-5)"
134878,RP,"",1.0,19,4,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,""
134831,SP,L,6.2,93,28,7,0,1,6,4,1,0,1,6,2,2,9,3,1,0,0,"(L, 10-6)"
134834,RP,"",1.1,12,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,""
134835,CL,"",1.0,17,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
134908,RP,H,1.0,30,5,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"(H, 5)"
134909,CL,S,1.0,14,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,"(S, 35)"
134913,RP,"",0.2,17,4,0,0,0,2,1,0,0,1,2,2,1,0,0,0,0,0,""
134915,RP,H,1.0,14,4,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"(H, 27)"
134918,SP,"",4.1,87,20,5,3,0,4,3,0,0,1,4,4,1,3,2,0,0,0,""
134919,RP,W,1.0,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(W, 10-4)"
