player_id,name,number,status,team_id
671936,Adam Macko,64,Active,141
680718,Addison Barger,47,Active,141
672386,Alejandro Kirk,30,Active,141
665926,Andrés Giménez,0,Active,141
682785,Angel Bastardo,66,Active,141
623993,Anthony Santander,25,Active,141
670102,Bowden Francis,44,Active,141
678218,Brandon Valenzuela,,Active,141
680755,Braydon Fisher,63,Active,141
663893,Brendon Little,54,Active,141
662139,Daulton Varsho,5,Active,141
676914,Davis Schneider,36,Active,141
641778,Eric Lauer,56,Active,141
676391,Ernie Clement,22,Active,141
543807,George Springer,4,Active,141
814005,Jake Bloss,28,Active,141
656546,Jeff Hoffman,23,Active,141
694388,Joey Loperfido,10,Active,141
682729,Jonatan Clase,8,Active,141
621244,José Berríos,17,Active,141
677865,Justin Bruihl,58,Active,141
592332,Kevin Gausman,34,Active,141
681751,Lazaro Estrada,60,Active,141
677870,Leo Jiménez,49,Active,141
686973,Louis Varland,77,Active,141
689254,Mason Fluharty,68,Active,141
664702,Myles Straw,3,Active,141
664770,Nathan Lukes,38,Active,141
687606,Paxton Schultz,65,Active,141
694357,Ricky Tiedemann,,Active,141
669456,Shane Bieber,57,Active,141
667297,Tommy Nance,45,Active,141
702056,Trey Yesavage,39,Active,141
623168,Tyler Heineman,55,Active,141
665489,Vladimir Guerrero Jr.,27,Active,141
684320,Yariel Rodríguez,29,Active,141
554340,Yimi García,93,Active,141
702176,Alan Roden,19,Active,142
656577,Alex Jackson,,Active,142
702193,Andrew Morris,,Active,142
668885,Austin Martin,16,Active,142
641927,Bailey Ober,17,Active,142
686797,Brooks Lee,2,Active,142
621439,Byron Buxton,25,Active,142
676812,Carson McCusker,60,Active,142
663485,Cole Sands,44,Active,142
687570,Connor Prielipp,,Active,142
701581,David Festa,58,Active,142
666397,Edouard Julien,47,Active,142
691181,Emmanuel Rodriguez,32,Active,142
679358,Eric Orze,,Active,142
694224,Gabriel Gonzalez,,Active,142
694230,Hendry Mendez,,Active,142
681546,James Outman,43,Active,142
640902,Jhonny Pereda,65,Active,142
657746,Joe Ryan,41,Active,142
804619,John Klein,,Active,142
623437,Justin Topa,48,Active,142
696070,Kendry Rojas,,Active,142
665019,Kody Clemens,18,Active,142
681892,Kody Funderburk,55,Active,142
807712,Luke Keaschall,15,Active,142
694397,Marco Raya,85,Active,142
670242,Matt Wallner,38,Active,142
690953,Mick Abel,20,Active,142
681508,Mickey Gasper,11,Active,142
641154,Pablo López,49,Active,142
701487,Pierson Ohl,62,Active,142
668904,Royce Lewis,23,Active,142
680837,Ryan Fitzgerald,53,Active,142
680777,Ryan Jeffers,27,Active,142
668952,Ryan Kreidler,,Active,142
680573,Simeon Woods Richardson,24,Active,142
671737,Taj Bradley,26,Active,142
701519,Travis Adams,45,Active,142
663616,Trevor Larnach,9,Active,142
805673,Zebby Matthews,52,Active,142
605400,Aaron Nola,27,Active,143
660604,Alan Rangel,56,Active,143
664761,Alec Bohm,28,Active,143
686934,Alex McFarlane,,Active,143
691725,Andrew Painter,,Active,143
669016,Brandon Marsh,16,Active,143
547180,Bryce Harper,3,Active,143
681082,Bryson Stott,5,Active,143
650911,Cristopher Sánchez,61,Active,143
624641,Edmundo Sosa,33,Active,143
687282,Gabriel Rincones Jr.,,Active,143
596117,Garrett Stubbs,21,Active,143
691893,Jean Cabrera,79,Active,143
666200,Jesús Luzardo,44,Active,143
661395,Jhoan Duran,59,Active,143
679032,Johan Rojas,23,Active,143
621237,José Alvarado,46,Active,143
621381,Matt Strahm,25,Active,143
676661,Max Lazar,60,Active,143
691330,Moisés Chace,75,Active,143
592206,Nick Castellanos,8,Active,143
676510,Nolan Hoffman,47,Active,143
689147,Orion Kerkering,50,Active,143
805249,Otto Kemp,4,Active,143
694175,Pedro León,,Active,143
665561,Rafael Marchán,13,Active,143
686751,Seth Johnson,51,Active,143
592836,Taijuan Walker,99,Active,143
621383,Tanner Banks,58,Active,143
607208,Trea Turner,7,Active,143
642215,Weston Wilson,37,Active,143
554430,Zack Wheeler,45,Active,143
700363,AJ Smith-Shawver,32,Active,144
607481,Aaron Bummer,49,Active,144
663586,Austin Riley,27,Active,144
689172,Brett Wisely,60,Active,144
693821,Bryce Elder,55,Active,144
519242,Chris Sale,51,Active,144
678226,Daysbel Hernández,62,Active,144
800311,Didier Fuentes,75,Active,144
686948,Drake Baldwin,30,Active,144
689266,Dylan Dodd,46,Active,144
669276,Dylan Lee,52,Active,144
642201,Eli White,36,Active,144
656550,Grant Holmes,66,Active,144
802686,Hayden Harris,79,Active,144
676702,Hunter Stratton,65,Active,144
694462,Hurston Waldrep,64,Active,144
702910,Jhancarlos Lara,81,Active,144
641729,Joe Jiménez,77,Active,144
606303,Joel Payamps,,Active,144
666214,Joey Wentz,33,Active,144
660761,José Suarez,54,Active,144
677020,Josh Walker,,Active,144
595777,Jurickson Profar,7,Active,144
621566,Matt Olson,28,Active,144
643289,Mauricio Dubón,,Active,144
671739,Michael Harris II,23,Active,144
672279,Michael Siani,,Active,144
805373,Nacho Alvarez Jr.,67,Active,144
645277,Ozzie Albies,1,Active,144
628452,Raisel Iglesias,26,Active,144
625643,Reynaldo López,40,Active,144
691548,Rolddy Muñoz,70,Active,144
660670,Ronald Acuña Jr.,13,Active,144
669020,Ryan Rolison,,Active,144
669221,Sean Murphy,12,Active,144
680885,Spencer Schwellenbach,56,Active,144
675911,Spencer Strider,99,Active,144
660644,Vidal Bruján,17,Active,144
643217,Andrew Benintendi,23,Active,145
701496,Ben Cowles,,Active,145
685126,Brandon Eisert,53,Active,145
681460,Brooks Baldwin,27,Active,145
663542,Bryan Hudson,60,Active,145
682868,Bryan Ramos,44,Active,145
805367,Chase Meidroth,10,Active,145
669684,Chris Murphy,,Active,145
695657,Colson Montgomery,12,Active,145
678554,Curtis Mead,29,Active,145
663436,Davis Martin,65,Active,145
656537,Derek Hill,47,Active,145
689672,Drew Thorpe,33,Active,145
701474,Duncan Davitt,,Active,145
700337,Edgar Quero,7,Active,145
677592,Everson Pereira,,Active,145
691799,Grant Taylor,31,Active,145
683568,Jairo Iriarte,58,Active,145
686563,Jonathan Cannon,48,Active,145
673929,Jordan Leasure,49,Active,145
686676,Korey Lee,26,Active,145
681066,Ky Bush,,Active,145
691019,Kyle Teel,8,Active,145
672820,Lenyn Sosa,50,Active,145
673357,Luis Robert Jr.,88,Active,145
678246,Miguel Vargas,20,Active,145
678024,Mike Vasil,61,Active,145
672860,Prelander Berroa,66,Active,145
680732,Sean Burke,59,Active,145
681343,Shane Smith,64,Active,145
701780,Tanner McDougal,,Active,145
695020,Tanner Murray,,Active,145
656457,Tyler Gilbert,40,Active,145
682790,Wikelman González,66,Active,145
800049,Adam Mazur,60,Active,146
682663,Agustín Ramírez,50,Active,146
677053,Andrew Nardi,43,Active,146
669622,Anthony Bender,37,Active,146
666129,Braxton Garrett,29,Active,146
806188,Cade Gibson,58,Active,146
676534,Calvin Faucher,53,Active,146
681393,Connor Norby,1,Active,146
667472,Dane Myers,54,Active,146
690978,Dax Fulton,90,Active,146
691277,Deyvison De Los Santos,65,Active,146
665795,Edward Cabrera,27,Active,146
676572,Eric Wagaman,33,Active,146
691587,Eury Pérez,39,Active,146
688363,Graham Pauley,21,Active,146
665052,Griffin Conine,18,Active,146
681715,Heriberto Hernández,64,Active,146
805300,Jakob Marsee,87,Active,146
676083,Janson Junk,26,Active,146
691858,Jared Serna,68,Active,146
691594,Javier Sanoja,46,Active,146
691788,Joe Mack,,Active,146
681006,Josh Simpson,66,Active,146
687985,Josh White,,Active,146
669065,Kyle Stowers,28,Active,146
669199,Lake Bachar,84,Active,146
689414,Liam Hicks,34,Active,146
676974,Max Meyer,23,Active,146
691185,Maximo Acosta,24,Active,146
656848,Michael Petersen,49,Active,146
