record_id,at_bats,plate_appearance,hits,doubles,triples,home_runs,strikeouts,walks,hit_by_pitch,sacrifice_flies,double_play,triple_play,rbis,runs,stolen_bases,caught_stealing,remarks
22613,1,3,1,0,0,0,0,2,0,0,0,0,1,2,0,0,"1-1 | 2 BB, RBI, 2 R"
22615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
22616,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0-1 | R
22841,2,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,"1-2 | 2B, K, RBI"
22866,5,5,1,0,0,0,2,0,0,0,0,0,1,1,1,0,"1-5 | 2 K, RBI, R"
22872,2,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,"1-2 | BB, R"
22878,4,4,1,0,0,0,1,0,0,0,0,0,2,0,0,0,"1-4 | K, 2 RBI"
22883,1,3,1,1,0,0,0,2,0,0,0,0,0,1,0,0,"1-1 | 2B, 2 BB, R"
22892,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1-3 | RBI
22897,1,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"0-1 | BB, HBP, R"
22900,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"1-2 | 2B, K"
22916,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0-2 | 2 K
22934,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"0-1 | BB, K"
22948,1,3,0,0,0,0,1,2,0,0,0,0,1,1,0,0,"0-1 | 2 BB, K, RBI"
22954,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1-2 | 3B
22955,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-2 | K
22956,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0-3 | 2 K
22958,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-3
22962,2,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,"1-2 | K, R, SB"
22742,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"0-2 | K, R"
22745,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"1-1 | RBI, SB"
22746,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1-3 | K
22747,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1-1
22758,1,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0-1 | 2 BB
22762,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-4
22763,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,"1-1 | BB, R"
22765,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0-3
